Date,Agua_de_Beber_1963_Version,Aguas_de_Marco_Waters_of_March,Baby_I_Love_Your_Way,Back_in_Black,Better_Together,Billie_Jean,Bold_As_Love,Born_In_The_U.S.A,Break_Free_feat_Zedd,Break_on_Through,Brick_House,Coming_Home,Contact,Dancing_In_The_Dark,Dont_Worry_Be_Happy,Easy_Extended,Forget_You,Get_Lucky,Gimme_Shelter,Glory_Days,Got_to_Be_Real,Gravity,Holocene,I_Want_You_Back,Is_This_Love,Jamming,Lets_Groove,Levels_Original_Mix,Light_My_Fire,Little_Ghetto_Boy,Love_On_Top,Lovers_Carvings,Motherboard,Movin_Out_Anthonys_Song,My_Cherie_Amour,Ooh_La,Rich_Girl,River,Rolling_in_the_Deep,Sara_Smile,Seaside,Shake_Your_Body_Down_To_The_Ground,Sleepyhead,Slip_Slide,Slow_Dance,Sofa_Song,Someone_New,Starry_Eyed,Stayin_Alive,Stereo,Sunday_Candy,The_Girl_from_Ipanema,Thriller,Treasure,Use_Me,You_Make_My_Dreams,You_Rock_My_World_With_Intro,Latch_feat_Sam_Smith,Wish_You_Were_Here,Smooth_Criminal,Sir_Duke,Signed_Sealed_Delivered_Im_Yours,Rather_Be_feat_Jess_Glynne,Part-Time_Lover,Money,Just_Friends_Sunny,I_Will_Wait,Ho_Hey,Hey_You,Boogie_On_Reggae_Woman,Black_Or_White,Behind_Blue_Eyes,Beat_It,Beast_Of_Burden,Babel,Thrift_Shop_feat_Wanz,That_Girl,Sunday_Morning,Smooth_Sailin,Mirrors,Lisa_Sawyer,Kids,I_Got_You_I_Feel_Good,Get_Up_Offa_That_Thing_1991_Edit,Get_Down_on_It,Flowers,Electric_Feel,Cant_Hold_Us_feat_Ray_Dalton,Brown_Skin_Girl,Yellow,When_We_Get_By,When_I_Was_Your_Man,Viva_la_Vida,Stir_It_Up_Original,Should_I_Stay_Or_Should_I_Go,Needy_Girl,Lonely_Boy,London_Calling,Life_In_Technicolor,Call_Me_Maybe,Buffalo_Soldier
1/1/21,9860,3546,3012,5377,2447,6185,165,9705,9828,4702,1927,6666,2414,1607,3200,8406,4033,7103,6520,1522,3336,115,5456,1106,1540,1806,2802,879,3586,332,8753,1100,731,2116,3493,4943,4187,69,4698,9926,4512,7118,899,7673,5378,7344,2298,8226,7271,5082,1370,1382,2522,1202,6876,2469,1485,3647,8365,7592,6158,2449,7006,3949,7448,8572,8181,2455,7869,3272,1314,3639,4735,6575,8584,2431,2721,6092,3807,8123,3570,6291,4269,3432,9577,9162,663,2782,2000,9909,2598,2477,9338,6867,7845,1153,3083,1209,9051,1497,3130
1/2/21,5106,361,5979,9759,6041,4421,8060,1527,3928,5847,7998,6436,6804,6229,3752,5395,3377,1655,1154,7926,3465,5585,5574,1283,4083,1902,9285,9048,2533,2500,1096,2057,4551,6825,4306,400,7146,5242,1866,9883,8156,773,134,6050,7864,6613,1897,21,2107,4198,2327,3995,68,4487,9806,1627,3183,6749,5397,7332,3180,5728,6313,8349,9546,7983,4488,9642,5947,8314,6293,8203,1291,7723,7906,9208,3028,20,9299,8272,8277,3763,7923,4807,9123,8200,4629,8748,9077,298,4150,6280,4609,66,8562,7873,5730,4694,2511,4783,7847
1/3/21,6942,6875,8912,9262,9569,4884,156,9875,5676,4008,5832,8703,1937,4220,270,2305,8012,3828,1066,4590,6507,4405,7826,9647,8259,1920,4282,2089,868,8155,226,1736,7342,8554,3216,5113,294,1205,6794,7466,3382,3159,8928,1030,2818,2620,8046,3348,9812,8100,4405,1566,4451,9009,4144,3350,3839,2393,3585,893,4448,8382,2101,6090,8994,8040,4207,5128,6170,8436,3274,3710,2538,420,9639,8919,5318,3587,1730,4249,2290,7512,9584,8336,6016,3810,7060,3289,9976,3141,9042,3594,2116,2128,1853,9711,5615,5187,6698,3113,3333
1/4/21,7972,6712,242,3856,2897,5432,916,654,3087,4303,3452,9336,4736,966,8808,3098,2546,8241,8063,2748,4486,922,8434,1299,1017,8413,2533,5025,328,7302,8345,1816,5597,5802,5966,2059,5476,5961,8045,7459,2365,8214,6726,9135,6613,4878,4078,5947,7762,2927,5021,98,3266,3238,4631,2556,1772,4325,7374,2187,6781,5585,6858,3808,2319,6827,3979,5526,8071,515,8703,2181,486,3423,9448,135,3909,7924,3664,5274,3277,2115,5445,577,5896,6290,4850,5374,1983,9665,5839,5291,3301,2257,685,4364,4430,2983,1896,119,4995
1/5/21,5777,6201,3483,682,2798,6055,6298,268,8067,6168,1468,6685,1314,2449,8736,2082,5004,4002,4246,3024,6545,49,5210,2242,2479,3420,9012,8420,2633,1074,7741,512,5896,1447,6072,2438,3997,3095,1730,6167,4826,5057,8353,8691,782,7696,8551,9249,2800,9649,751,3527,7370,29,5261,3174,9253,7196,9048,4099,9334,3308,2762,6913,6450,8973,5747,9740,9264,256,6793,7893,3695,4561,9149,3048,9113,9482,2008,9787,5876,5572,8816,723,6571,6807,7296,8818,6198,7549,993,2121,9326,9041,4264,7815,3152,7095,7336,5045,3047
1/6/21,4738,1175,9631,8409,7553,4210,9487,1670,6505,803,7821,2554,7070,8336,9549,6508,1757,1851,5036,7139,3838,6799,6077,9611,6358,9361,8258,8469,2902,3628,30,4541,7716,6093,6867,9464,7555,4528,6853,4796,9615,3504,9734,2282,2020,5804,928,2483,3533,9160,4775,544,6524,617,3883,2362,7690,3137,8173,701,600,5754,4315,6661,9395,4553,893,4026,9834,6535,693,5725,5298,4694,4957,2890,3502,4409,1135,2720,2457,6374,9242,4871,8660,321,1264,1150,2330,542,5438,7920,8331,8800,9271,6777,7004,5753,5306,1540,4553
1/7/21,4868,3828,1823,4502,1444,3065,5785,6135,4694,2085,580,4713,4711,4335,5551,9215,374,4851,1918,8071,625,5057,1816,5666,2818,341,8332,9246,9895,2701,9079,2974,3707,6050,1863,4629,6819,4374,6657,9655,490,5958,720,1230,5808,7340,1704,347,9002,765,2375,7110,2312,2908,2056,3718,7481,9004,2957,38,8698,779,4648,1549,876,3427,4533,1450,4392,5959,877,5280,3837,5694,7658,5366,2878,6591,3139,4105,9327,3609,6362,8757,945,756,3780,7216,7218,83,3259,1017,5461,2681,2779,4929,7895,1208,6328,1055,2195
1/8/21,8000,2136,7464,799,8546,7759,5588,140,7583,2080,9946,1083,8246,5096,3139,3845,9397,8992,3079,4335,9900,7000,2899,7508,6713,3276,6025,2400,8754,477,3235,6464,8115,1205,9945,4586,2484,2178,81,7388,7965,7290,2890,6567,2847,8907,1065,3003,6217,9576,2458,6943,31,8788,2656,7622,2107,4909,7086,9567,1272,5449,9968,3820,6644,9743,3711,8231,7040,2775,981,7671,6530,6856,7841,8452,1714,1810,3020,3345,3065,4695,839,8169,3885,881,7956,7796,2534,8113,5645,9163,1312,1986,6114,1799,5150,8113,4295,7382,4025
1/9/21,3726,1644,5530,6434,5055,5022,1254,3255,772,861,8005,392,836,7321,7619,9938,7590,2767,2420,5781,6195,5364,277,5447,4993,5043,222,277,2772,6429,7337,50,6989,4761,936,5917,9544,6380,5814,7388,6813,2572,4432,5723,8713,7334,8267,9870,7670,7634,6109,8364,2365,3285,5444,4761,414,2035,9682,8791,4987,4971,5815,4979,9120,7743,6346,3734,1073,2567,6574,8807,2503,5972,4809,8510,1384,6526,6461,2584,5119,9372,6177,318,5474,4297,827,2218,2279,394,4450,2144,3123,3910,2168,7901,4576,8444,54,5386,7219
1/10/21,212,707,6986,327,7348,7509,4793,8548,5335,7504,4575,4065,4267,7446,9278,7978,7965,5550,3491,9768,8735,5120,6849,7939,2534,9237,174,8348,2650,1480,6640,9567,1257,4870,6905,1951,6280,3977,7465,8101,3287,2215,2729,6247,7169,662,8337,4572,2611,8520,2277,1682,1785,9709,7982,8796,98,5531,1696,7681,8349,1059,6797,3009,1782,879,5560,5980,2166,8724,3077,541,1260,753,516,3264,6944,4621,5364,6897,6885,9926,1756,2576,4230,8923,6379,8641,6244,3830,5503,2294,3914,6908,7789,9380,7505,3804,5080,9804,7038
1/11/21,7042,5268,1392,7212,3852,3060,3388,1241,2902,8967,8476,4864,1037,6967,5427,1185,4231,8226,7390,3318,3629,4440,9068,2904,8685,9513,5664,9082,4155,3417,1778,5287,1982,707,1181,5694,2127,6478,43,2270,3812,3137,9165,9198,753,2964,9246,3984,434,2594,3915,3165,2992,6898,4151,9541,2917,725,5045,2654,4444,1079,3687,4031,6798,1728,8174,7806,7637,6818,8434,444,4247,8441,8073,9211,6758,9122,4208,1331,5405,766,4099,7503,4407,518,8456,6693,6984,5092,4659,5262,8027,1118,892,9365,1846,779,4557,576,3089
1/12/21,8933,9428,4897,2456,6422,977,4822,7172,2590,9573,6255,1686,2817,3794,1655,5032,973,8908,7643,6557,3993,5117,9815,5548,6764,584,5908,2895,6850,1010,3156,687,9238,7866,8576,2858,6207,1594,5364,4592,9512,7459,2302,185,8107,5819,8490,1539,5887,8005,6846,4592,4813,4218,1314,684,2386,6197,9843,434,5805,6373,9948,6845,4104,6248,9956,3130,8412,9659,2808,4890,69,9076,5146,4808,9087,5875,505,6408,6205,3789,1995,6751,6077,3231,2636,8636,1571,8802,7913,4896,8443,6687,2772,9785,1746,1983,7801,846,5801
1/13/21,6959,5609,9997,2340,4882,47,9580,4266,5018,1814,9747,4671,4466,2326,9696,1838,1180,9534,3121,519,4223,9231,124,1717,1643,6287,9258,9362,8759,4464,3669,9047,5916,3564,1150,436,1347,2869,4516,4271,3891,8765,5486,9468,4985,2478,7627,6282,6960,7337,9369,8521,2977,4573,8594,4875,6776,268,2185,775,3105,3412,9216,5327,6674,6650,9241,7865,4154,242,1997,2480,6986,7817,5426,907,5522,9322,9793,1936,7005,4596,5748,1408,3643,4563,8772,234,9552,4927,8746,109,5455,1559,441,626,282,858,6392,2735,7856
1/14/21,9460,8118,8543,37,8165,5885,9359,5875,7733,8480,3509,3293,1489,6201,6247,8407,3500,4952,3510,9042,4724,7052,3888,8293,400,5663,3777,5815,5284,691,8796,5109,4464,8544,7738,1709,7924,5288,2966,4499,3071,1232,948,3143,1857,3783,5438,1574,7632,2992,8286,7868,2985,8245,8442,9066,8766,9901,5552,3050,9555,910,9855,9214,9771,6091,3635,6731,2223,5225,9702,5554,6086,226,5568,3881,2700,6042,2991,1096,6979,1827,4360,6483,9701,5630,7393,931,1173,4331,2675,6341,7884,3636,8575,2117,7170,8901,1070,1838,4121
1/15/21,4635,7998,405,1,730,2892,2007,2880,9988,4867,931,8845,2548,943,3635,4727,5314,2206,7044,6572,314,5042,5926,6750,5751,5513,1540,42,7852,4873,87,3453,5741,6415,930,8381,7732,2607,219,776,8,4158,4994,7001,9462,610,8428,9072,5065,4505,3190,6672,6248,9271,6661,3650,3070,1064,1284,5284,4941,1825,2429,8579,6312,5568,4934,7947,3399,612,4735,7042,7804,206,3003,5200,1140,8836,3113,6306,9627,208,6638,7346,9370,390,4180,2508,8745,8881,3502,1606,8224,2322,3787,995,6124,3234,2490,7842,3370
1/16/21,2160,9615,7223,3414,5513,5959,9620,138,9964,5089,9362,1089,7764,8272,1339,4687,2031,5379,1944,6469,4072,5811,5343,2919,4475,2736,2441,4942,3435,3373,6760,4701,7464,5245,9673,7065,3523,3410,1853,9263,7605,487,4041,1287,2064,7178,5896,8356,8301,2344,9468,465,5121,7305,2804,3122,916,6887,5746,4824,8818,8498,7238,9635,1520,4944,9283,5565,3522,9620,2808,5009,4707,2619,9028,4748,7619,7757,1441,8958,4107,6115,6663,9873,2131,4903,9139,6443,3606,2123,1197,5855,6500,4099,614,4016,9509,4750,6431,9820,2162
1/17/21,3581,9767,9794,6129,8622,2402,2202,1372,4565,4220,1765,3062,9,5750,2213,458,3655,1582,2319,5148,9734,4789,1715,5137,7922,2548,9673,5182,8939,9698,1687,9230,5196,7437,268,6359,2544,7355,1810,2827,176,2308,8965,9845,4741,6556,5675,6231,5948,5531,5140,8107,176,559,5172,1408,6155,2722,1170,5829,8592,8965,6165,666,7444,7143,6337,9009,3462,9059,7281,6355,583,1718,5187,7774,15,374,3208,8265,7699,9495,1777,4981,4787,238,770,1781,3257,9680,7893,8539,1353,2674,8002,5087,2302,5168,9158,9876,7795
1/18/21,5370,8758,9431,5459,3131,2340,5520,1654,5585,3215,9897,5041,4949,3188,8190,2386,9235,6265,4422,648,7897,6292,3863,8035,7250,5583,1974,3074,1998,882,1098,7374,7794,2130,7624,5486,3605,511,4698,3127,4517,3621,4056,5230,5954,5726,2705,2007,4415,5013,339,1816,563,2671,7036,1556,1899,5592,3138,2740,2939,2627,469,8087,3351,4175,9534,5552,3841,8004,8263,4117,4125,4474,9707,3837,2954,778,8066,2035,2945,6573,5909,1203,1624,6431,5340,7963,6669,635,8242,3482,1140,7751,3213,9772,1127,8246,5060,2066,4826
1/19/21,201,6711,622,3307,8223,8113,6446,5370,2815,3492,566,3257,1964,8585,7293,3479,7550,9273,8278,3286,8993,5432,3059,8401,1836,1591,5926,8517,8614,2628,441,9962,6221,2721,1582,7317,6238,677,6144,9906,5739,7366,3471,6352,10000,9674,4875,2947,3994,6705,7440,7150,804,8520,607,227,403,8045,5589,9381,6,9256,7224,8159,9435,2950,9637,952,4033,5988,4300,1266,2993,4395,2060,6580,7098,3894,9296,4474,6395,5010,3097,7620,8734,6250,1777,1139,5693,9640,4339,9983,8650,262,797,4461,8545,4698,1191,1364,7467
1/20/21,4547,811,9260,9855,7309,6794,8264,6386,7119,7670,2946,155,747,2036,3873,4926,201,692,2818,8644,9308,2534,3939,2691,1185,6062,2301,2696,1438,5163,1871,1001,7233,1935,5388,7092,8742,1094,7052,6872,4307,5930,8400,1336,5135,3726,2,7726,5803,807,5997,7793,1065,309,7646,5145,1858,5061,119,2640,9590,30,5275,61,1924,8984,9935,1636,8319,9551,6163,4140,8219,268,5425,1610,2052,2903,5078,597,68,399,5756,2833,7568,6729,1505,5367,6062,404,5142,6358,1401,4591,9412,8583,9064,8103,9894,2156,2625
1/21/21,4414,8009,5293,8801,2366,5464,9427,1182,7900,2117,8160,5093,835,8918,8588,137,858,9639,7048,3540,5424,8236,2383,2912,1780,9560,8307,2225,8965,9603,6426,5610,6002,2355,1898,9360,4429,9652,1042,176,2162,3488,9629,7238,2491,3701,2551,8786,8851,4075,8283,9048,243,725,7275,5998,6451,2408,9134,5453,5101,8495,4147,7833,7836,2509,1699,5029,652,2684,9919,2955,8007,3072,6357,3407,2496,6766,5842,7965,4810,358,1910,147,7138,8295,4367,9404,1682,2591,2872,7899,8767,8888,2134,1304,5430,145,9402,5556,2152
1/22/21,4462,2382,5029,8138,8474,9000,4724,4873,4087,5468,181,1084,6245,4723,1414,8040,680,475,3318,6021,8393,1313,5841,5222,7001,4707,9441,6023,5764,7565,3278,5457,5495,8568,8216,9701,4873,5644,2231,3725,9414,3616,425,201,5222,119,9292,1427,9253,2705,4001,5042,2125,7274,7784,2407,9925,5438,2369,2304,3101,1094,7470,3386,1145,6829,1539,3196,6051,6640,8312,5796,9031,3993,7354,8111,8491,1935,39,316,4486,756,6040,3228,7862,850,8515,6653,9876,9963,7093,8744,8172,4770,6436,4967,350,8885,2419,9115,2873
1/23/21,753,5292,5407,1071,96,5166,4603,6013,982,3144,5699,6806,3798,9037,4406,7625,7126,6020,3333,3057,2368,3427,3488,9274,6654,2414,7511,3815,9544,4774,5458,8789,1250,3797,972,8605,7508,2740,6368,1170,9085,318,6926,3562,6,1923,1873,8746,8294,5868,6855,4322,582,2425,6675,9670,5624,9750,8780,4946,166,4617,4330,1724,87,5420,1545,9566,4640,6298,2362,3634,7585,8570,3814,8579,6928,4011,2655,7566,2527,4871,6342,4430,1512,3645,8845,7777,1521,756,268,2325,8290,148,9386,9389,7380,6601,9450,8340,6194
1/24/21,290,3182,5548,735,5412,9050,2547,9777,6574,101,738,2473,3257,6366,479,7954,8734,4664,346,6148,2476,2029,1567,8682,6285,6645,5558,3666,8721,1695,7328,11,9184,8544,3217,6436,6138,9335,4718,9740,4274,6285,8635,518,2053,9581,958,3080,8155,139,9031,763,5521,8504,7367,4584,1490,999,2082,5318,4010,3894,5589,7302,3604,2675,1150,9675,2283,4896,9827,3372,6631,6159,3349,9730,5806,7806,4830,4283,500,1297,8906,6060,1924,2759,2366,7508,7623,618,7437,6391,1680,5466,934,9637,3992,7631,3298,5212,4389
1/25/21,3025,3980,5001,7785,6678,9159,4853,5104,1537,2244,1798,973,9540,848,2882,3412,7694,6690,1084,3719,2351,5603,8978,3597,3217,6140,3449,1065,8686,9085,9933,8941,698,5262,4180,9108,6770,2836,5161,1697,8346,2468,6977,1995,6891,7675,9134,3442,4134,9167,3629,6422,6696,7968,8396,3748,1756,4784,3823,6632,3302,9511,6388,690,5323,3574,4813,7238,7374,8429,3108,8881,4439,4205,3748,9952,3504,2487,3550,4653,3849,9516,2438,2009,4033,9672,162,6089,7416,3587,8237,5120,1149,9880,5391,7221,5351,1753,1680,2825,5713
1/26/21,1827,9122,4874,7006,3928,8608,2571,5730,6513,1974,8458,3205,7247,7450,5919,4741,5890,5365,4364,5112,5892,7134,7261,1349,4074,142,7064,5537,3057,8232,6620,574,1070,8422,4524,4402,9540,7480,5323,4041,1172,7843,9533,3873,7153,2523,4594,8136,5440,7961,2752,8281,5645,4736,1172,4703,524,2332,7311,2476,742,1932,1420,4624,9308,8152,1033,4761,6235,212,7145,3797,4640,1238,5453,1754,2750,6630,5298,6506,4946,3680,6707,8492,4508,5422,7651,9299,3868,8155,4302,378,3468,5920,2386,289,1434,2256,1276,6599,2828
1/27/21,9799,1857,9468,9316,1259,1448,7857,4224,946,6501,4269,3646,9474,2993,803,3125,3460,3627,7108,4308,3469,8120,1438,2357,5052,5017,4508,4953,6066,1184,4487,6608,6857,6966,3500,1859,7868,5792,2629,8994,8326,2773,9706,8687,9940,6772,1847,4501,9807,9067,20,8193,1213,7202,576,8007,7763,5562,764,4822,2407,5411,1290,8901,6393,7557,2498,1378,5422,6027,9241,656,2315,529,6910,3094,5134,1359,3534,2388,3976,1276,5497,326,375,2924,4535,8448,1162,7519,7301,2844,4328,5385,5106,6868,7451,70,6543,753,9516
1/28/21,8973,101,3828,1808,4979,8791,6935,1219,1403,5323,6693,2728,6534,8181,6595,3077,940,4084,6084,964,6936,7691,9115,2353,4888,4948,4537,2354,9981,5237,9211,3550,8160,7940,2628,892,9698,4529,159,1334,9199,7503,568,3937,7058,6793,1175,5121,1822,786,9204,4053,9478,3211,6677,534,368,6403,5730,6834,3943,1228,2513,583,34,473,5354,7338,9243,448,46,7256,3494,1774,2508,8123,9055,7737,9040,1131,9528,8277,6215,8433,3144,9830,6149,5144,3118,388,2411,6215,9534,6455,1077,7415,5157,8398,3757,9391,2883
1/29/21,5661,5740,8378,4886,3345,269,6404,7022,9091,3573,3055,7769,4449,2863,7236,5647,6468,8408,4949,4623,5811,7822,2413,1376,2415,9997,9693,6881,3034,2644,6570,5954,2779,2680,2019,6977,6931,3950,4226,3636,7082,5210,6096,7378,9794,8193,9731,3878,3807,2255,9033,2517,7607,340,9540,5887,8821,1149,8289,1853,659,2219,2632,1056,6756,6372,1867,1289,4792,968,1432,7968,7367,9279,5538,2355,5161,5930,743,5691,7959,4954,5479,5366,4787,5998,4398,7873,4395,4903,2598,8536,381,8179,5260,9796,2220,1395,602,7476,1849
1/30/21,1583,195,3878,2609,1071,5379,89,8902,7136,5216,3458,204,8275,7187,4966,5076,8111,9793,7957,5357,1065,6321,9098,5539,3204,3355,4687,5312,6660,7189,9764,9620,3425,3563,911,5493,2173,531,2794,1390,1517,6987,8989,6525,7686,1044,784,8004,7110,8358,6744,6232,2470,1334,4620,5481,953,4550,486,2811,7722,2078,7841,7159,4322,1643,1615,3087,1216,6269,5601,2447,3739,8621,164,3407,1799,8664,505,8602,6294,5255,8060,8070,9452,1753,652,9040,4589,7847,5209,7395,3630,6850,2051,6729,8009,5839,5351,415,5842
1/31/21,8867,1703,1877,1275,2577,142,1592,5416,3384,4909,101,1809,8839,5375,2518,6475,5982,3104,1211,9170,8264,184,6045,2879,5010,2028,6340,4895,7257,7191,2631,5254,112,8533,8332,1622,2020,5248,1248,924,6060,376,5861,8168,757,4196,1867,1232,2436,3615,148,1766,7208,5471,5653,863,5774,2236,439,2073,8779,4868,5999,2903,5372,6221,8408,9710,6600,4165,7055,1598,7808,6317,9110,8432,8864,20,9795,7769,991,7588,1352,5785,8589,1528,8470,1332,3834,5541,2622,184,8275,372,4055,6638,201,958,7006,4961,1163
2/1/21,508,6150,3448,4590,6299,1828,7814,1354,4437,3374,7119,8839,1492,8318,4901,5357,594,6073,5503,9464,2612,465,4026,5771,3990,2516,1554,8019,3463,5357,7278,6579,7403,7945,263,6431,412,6278,810,7966,4656,8262,9052,5950,2339,341,2497,9289,8807,2409,3865,9545,8258,237,8978,9917,9161,3022,5063,5190,4546,6136,1241,9240,2107,3252,4773,3931,4342,6385,1314,9265,5883,6672,3161,9929,5638,108,6189,9398,9771,5805,9586,426,606,815,3273,5983,9546,5388,6912,1154,956,948,6179,6701,6880,9587,6252,4969,7639
